x (µm)	y (µm)	n (1/µm^2)
-9.38	28.14	0
-8.442	28.14	0
-7.504	28.14	0
-6.566	28.14	0
-5.628	28.14	0
-4.69	28.14	0
-3.752	28.14	0
-2.814	28.14	0
-1.876	28.14	0.085613057
-0.938	28.14	0
0	28.14	0
0.938	28.14	0
1.876	28.14	0
2.814	28.14	0
3.752	28.14	0
4.69	28.14	0
5.628	28.14	0.313721074
6.566	28.14	0.274819784
7.504	28.14	0
8.442	28.14	0
9.38	28.14	0.298950337
10.318	28.14	0
11.256	28.14	0.145349375
12.194	28.14	0
13.132	28.14	0.221455397
14.07	28.14	0.106299165
15.008	28.14	0.153613727
15.946	28.14	0.311471472
16.884	28.14	0.526911915
17.822	28.14	0.815800578
18.76	28.14	0.195870408
19.698	28.14	0
20.636	28.14	0.275921186
21.574	28.14	0.433339693
22.512	28.14	0.421715725
23.45	28.14	0.236933426
-23.45	27.202	0
-22.512	27.202	0
-21.574	27.202	0.143452081
-20.636	27.202	0.276481494
-19.698	27.202	0.012342227
-18.76	27.202	0.000180504
-17.822	27.202	0
-16.884	27.202	0
-15.946	27.202	0
-15.008	27.202	0.128058128
-14.07	27.202	0
-13.132	27.202	0.628029277
-12.194	27.202	0
-11.256	27.202	0.027311486
-10.318	27.202	0
-9.38	27.202	0
-8.442	27.202	0
-7.504	27.202	0
-6.566	27.202	0
-5.628	27.202	0
-4.69	27.202	0
-3.752	27.202	0
-2.814	27.202	0
-1.876	27.202	0
-0.938	27.202	0
0	27.202	0
0.938	27.202	0.283984215
1.876	27.202	0
2.814	27.202	0
3.752	27.202	0
4.69	27.202	0
5.628	27.202	0.254168706
6.566	27.202	0
7.504	27.202	0
8.442	27.202	0.179266221
9.38	27.202	0.298950337
10.318	27.202	0
11.256	27.202	0
12.194	27.202	0
13.132	27.202	0.315004195
14.07	27.202	0.12993459
15.008	27.202	0
15.946	27.202	0.019494313
16.884	27.202	0.70547722
17.822	27.202	0.143553478
18.76	27.202	0.214001713
19.698	27.202	0.124032762
20.636	27.202	0
21.574	27.202	0.337165419
22.512	27.202	0.546709398
23.45	27.202	0.040487364
-23.45	26.264	0.124650585
-22.512	26.264	0.09507475
-21.574	26.264	0.289203542
-20.636	26.264	0.145798537
-19.698	26.264	0.508610229
-18.76	26.264	0.307663658
-17.822	26.264	0
-16.884	26.264	0
-15.946	26.264	0.077287476
-15.008	26.264	0
