k	e	err(e)
Å-1	meV	meV
1.382	1.1158	--
1.384	1.1143	--
1.386	1.1138	--
1.388	1.1130	--
1.390	1.1115	--
1.392	1.1106	--
1.394	1.1095	--
1.396	1.1079	--
1.398	1.1076	--
1.400	1.1055	0.0019
1.402	1.1045	--
1.404	1.1033	--
1.406	1.1020	--
1.408	1.1014	--
1.410	1.0998	--
1.412	1.0985	--
1.414	1.0974	--
1.416	1.0962	--
1.418	1.0945	--
1.420	1.0933	--
1.422	1.0918	--
1.424	1.0904	--
1.426	1.0894	--
1.428	1.0886	--
1.430	1.0872	--
1.432	1.0866	--
1.434	1.0851	--
1.436	1.0828	--
1.438	1.0826	--
1.440	1.0806	--
1.442	1.0798	--
1.444	1.0780	--
1.446	1.0768	--
1.448	1.0753	--
1.450	1.0743	--
1.452	1.0732	--
1.454	1.0721	--
1.456	1.0699	--
1.458	1.0691	--
1.460	1.0681	--
1.462	1.0661	--
1.464	1.0641	--
1.466	1.0630	--
1.468	1.0617	--
1.470	1.0601	--
1.472	1.0591	--
1.474	1.0583	--
1.476	1.0561	--
1.478	1.0558	--
1.480	1.0535	--
1.482	1.0523	--
1.484	1.0506	--
1.486	1.0494	--
1.488	1.0474	--
1.490	1.0460	--
1.492	1.0444	--
1.494	1.0436	--
1.496	1.0414	--
1.498	1.0404	--
1.500	1.0381	0.0018
1.502	1.0371	--
1.504	1.0365	--
1.506	1.0341	--
1.508	1.0333	--
1.510	1.0315	--
1.512	1.0298	--
1.514	1.0287	--
1.516	1.0268	--
1.518	1.0256	--
1.520	1.0243	--
1.522	1.0221	--
1.524	1.0213	--
1.526	1.0187	--
1.528	1.0173	--
1.530	1.0158	--
1.532	1.0141	--
1.534	1.0127	--
1.536	1.0111	--
1.538	1.0094	--
1.540	1.0073	--
1.542	1.0067	--
1.544	1.0049	--
1.546	1.0023	--
1.548	1.0004	--
1.550	0.9999	--
1.552	0.9973	--
1.554	0.9954	--
1.556	0.9945	--
1.558	0.9920	--
1.560	0.9910	--
1.562	0.9891	--
1.564	0.9882	--
1.566	0.9864	--
1.568	0.9847	--
1.570	0.9831	--
1.572	0.9813	--
1.574	0.9801	--
1.576	0.9777	--
1.578	0.9758	--
1.580	0.9749	--
1.582	0.9723	--
1.584	0.9716	--
1.586	0.9705	--
1.588	0.9684	--
1.590	0.9666	--
1.592	0.9641	--
1.594	0.9622	--
1.596	0.9602	--
1.598	0.9588	--
1.600	0.9563	0.0016
1.602	0.9540	--
1.604	0.9528	--
1.606	0.9511	--
1.608	0.9487	--
1.610	0.9474	--
1.612	0.9458	--
1.614	0.9434	--
1.616	0.9421	--
1.618	0.9400	--
1.620	0.9378	--
1.622	0.9364	--
1.624	0.9353	--
1.626	0.9336	--
1.628	0.9317	--
1.630	0.9297	--
1.632	0.9278	--
1.634	0.9259	--
1.636	0.9247	--
1.638	0.9234	--
1.640	0.9212	--
1.642	0.9197	--
1.644	0.9168	--
1.646	0.9161	--
1.648	0.9128	--
1.650	0.9113	--
1.652	0.9106	--
1.654	0.9081	--
1.656	0.9061	--
1.658	0.9045	--
1.660	0.9014	--
1.662	0.9000	--
1.664	0.8986	--
1.666	0.8972	--
